72398,ANTONIO RUY CARDOSO PROFESSOR,186491,"MARTIRO ANGELO DERENZE, 595 - JARDIM SALETE - 06787320"
127806,BRASILINA VALENTE,186541,"KIZAEMON TAKEUTI, 60 - JARDIM CASTILHO - 06810000"
72412,WANDYCK FREITAS JORNALISTA,186498,"MIGUEL ORTEGA, 155 - PARQUE ASSUNCAO - 06754160"
127946,ISABEL LUCCI DE OLIVEIRA PROFESSORA,186544,"RUA JARDIM SUSPENSO, 2 - PARQUE ESPLANADA - 06817130"
74592,APARECIDA FERREIRA DOURADO DE CARVALHO PROFESSORA,186500,"AVENIDA ANTONIO MORY, SN - JARDIM SANTA MARIA - 06806000"
123594,FRANCISCO D AMICO,186516,"ARLINDO GENARIO DE FREITAS, 85 - JARDIM SAPORITO - 06783050"
124977,SARA SANCHES RUSSO PROFESSORA,186527,"AVENIDA SANTA TEREZA, 460 - JARDIM SANTA TEREZA - 06813400"
124764,FERNANDO MILANO PROFESSOR,186524,"TOM JOBIM, 420 - PARQUE LAGUNA - 06795005"
75060,MARIA CATHARINA COMINO,186506,"MARIA BENEDITA TEIXEIRA LEITE, 115 - JARDIM IRAPUA - 06766380"
137193,JOSE ROBERTO PACHECO,186551,"EDILIA SOUZA LIMA, 200 - JARDIM FREI GALVAO - 06753380"
127805,ODETTE DE SOUZA CARVALHO MADRE,186540,"JOAO BATISTA MEDINA, 889 - CHACARAS ANA LUCIA - 06840000"
126285,LAERT DE ALMEIDA SAO BERNARDO PROFESSOR,186533,"RUA ODETE DOMINGUES MARQUES, 30 - JARDIM SAINT MORITZ - 06787170"
74953,DOMINGOS MIGNONI,186505,"JOVINA DE CARVALHO DAU, 150 - PARQUE SANTOS DUMONT - 06754200"
74032,SOLANO TRINDADE,186499,"AVENIDA SANTA TEREZA, 30 - JARDIM SANTA TEREZA - 06813400"
128428,ZEICY APPARECIDA NOGUEIRA BAPTISTA PROFESSORA,186546,"JOSE DOMINGUES DE MORAES, 18 - JARDIM OLIVEIRAS - 06765100"
72397,JULIETA CALDAS FERRAZ PROFESSORA,186490,"RUA AVELINA NOGUEIRA PRADO, 257 - JARDIM MONTE ALEGRE - 06755320"
133970,MARLENE APARECIDA MAIA OLBERG PROFESSORA,186549,"OLIVEIRA, SN - JARDIM SANTO EDUARDO - 06823060"
124936,JARDIM DA LUZ,186525,"RUA ERVAL SECO, 410 - JARDIM DA LUZ - 06824240"
124595,MARCIA APARECIDA DA SILVA FARIA RIES PROFESSORA,186523,"ESTRADA SAO SEBASTIAO, 44 - CHACARA SAO MARCOS - 06814280"
76406,HEITOR CAVALCANTI ALENCAR FURTADO DEPUTADO,186511,"ROBERTO PASCHOAL IGNACIO, 354 - JARDIM FREITAS JUNIOR - 06784320"
130112,NELSON ANTONIO DO NASCIMENTO JUNIOR PROFESSOR,186548,"CHILE, SN - JARDIM DOS MORAES - 06814180"
72403,JOAO CALY PROFESSOR,186494,"ANTONIO MACIEL DE OLIVEIRA, 285 - CIDADE INTERCAP - 06757030"
137256,ELI URIAS MUZEL PROFESSOR,186552,"MONTE ALEGRE, 127 - JARDIM PINHEIROS - 06835050"
72402,REYNALDO DO NASCIMENTO FALLEIROS DOUTOR,186493,"VINTE E CINCO DE DEZEMBRO, 130 - JARDIM SAO SALVADOR - 06775350"
123595,DENOEL NICODEMOS ELLER REVERENDO,186517,"LUIZ QUEIROZ, 338 - JARDIM SCANDIA - 06785040"
125146,PROFESSOR VIVALTER KERCHE DE CAMARGO,186529,"RUA ZUMBI DOS PALMARES, 186 - VILA ISIS CRISTINA - 06816110"
127257,MARIA JOSE ANTUNES FERRAZ PROFESSORA,186535,"AMANDIO DO NASCIMENTO, 92 - PARQUE MARABA - 06766220"
124090,NEUSA DEMETRIO PROFESSORA,186522,"JOSE PEDRO NOGUEIRA FILHO, 212 - JARDIM MITUZI - 06775280"
74686,JOAO MARTINS,186502,"ESTRADA ITAPECERICA A CAMPO LIMPO, 52 - JARDIM CELIA REGINA - 06823300"
126207,RUBEM CARLOS LUDWIG GENERAL,186532,"MARIA IMACULADA, 2000 - MARIA IMACULADA - 06843010"
72394,EULALIA MALTA PROFESSORA,186487,"ALAMEDA FERNANDO BAPTISTA MEDINA, 25 - JARDIM ARABUTA - 06803460"
76137,EDUARDO VAZ DOUTOR,186510,"LIVIO ABRAMO, 14 - CERCADO GRANDE - 06804060"
126311,JOANNA SPOSITO,186534,"ANTONIO DA PAIXAO SOLANO, 530 - JARDIM VITORIA - 06810790"
127461,SILVIA APARECIDA DOS SANTOS PROFESSORA,186537,"AURELIO PASI, 40 - JARDIM SAO JUDAS TADEU - 06786220"
110411,PROFESSOR HENRIQUE COSTA,186513,"RUA ETIOPIA, 314 - JARDIM SAO LUIZ - 06816410"
72405,ALMIR PEREIRA BAHIA REVERENDO,186496,"IBIRAMA, 1320 - PARQUE INDUSTRIAL DACI - 06785300"
127303,EDGARD FRANCISCO,186536,"NATANAEL CESAR, 84 - JARDIM GUACIARA - 06775250"
