75542,ARY DE OLIVEIRA GARCIA PROFESSOR,144943,"RIO DE JANEIRO, 620 - VILA NOVA - 11520050"
134588,CEEJA LUIZ CARLOS ROMAZZINI,145028,"DAS VIOLETAS, 374 - JARDIM PRIMAVERA - 11432270"
72520,JULIO CONCEICAO,144889,"ANA NERI, 107 - VILA COUTO - 11510150"
72542,ALZIRA MARTINS LICHTI PROFESSORA,144914,"TORQUATO DIAS, 566 - MORRO DE NOVA CINTRA - 11080300"
87593,CENTRO ATEND SOCIOED ADOLESCSANTA EMILA  GUARUJACIP,144950,"AVADEMAR DE BARROS, 571 - VL STO ANTONIO - 11430000"
72544,BARNABE,144918,"PRACA CORREA DE MELO, SN - CENTRO - 11013220"
72517,VICENTE DE CARVALHO,144886,"PUGLISI, 188 - CENTRO - 11410000"
72509,NOSSA SENHORA DOS NAVEGANTES,144869,"ORLANDO BOTELHO RIBEIRO, 2008 - SANTA CRUZ DOS NAVEGANTES - 11425150"
116104,CENTRO ATEND SOCIOEDUC ADOLESC SANTA EMILIA GUARUJA CI,144968,"ADHEMAR DE BARROS, 571 - VILA SANTO ANTONIO - 11430000"
72505,AFONSO SCHIMIDT,144868,"BERNARDO PINTO, 94-96 - VILA PAULISTA - 11510260"
106034,TXERU BA  E KUA  I,144954,"AVENIDA TUPI GUARANI, 1500 - BORACEIA - 11626315"
75652,TANCREDO NEVES PRESIDENTE,144945,"VIOLETAS, SN - JARDIM PRIMAVERA - 11432270"
75065,LUCAS NOGUEIRA GARCEZ PROFESSOR,144936,"DAS MANGUEIRAS, SN - PRAIA DO PERNAMBUCO - 11444060"
110355,PARQUE DOS SONHOS 9A,144961,"CINCO, SN - MAE DOS HOMENS - 12923006"
72543,ANTONIO ABLAS FILHO DOUTOR,144916,"BARTOLOMEU DE GUSMAO, 107 - APARECIDA - 11045401"
74184,WALTER SCHEPIS PROFESSOR,144926,"RUA JOANA MENEZES DE MELLO FARO, 867 - SITIO PAECARA - 11462000"
109762,APARECIDA CARLOS ANTONIO VIDAL,144960,"RUA 5, 91 - JARDIM NOVA REPUBLICA - 11534280"
126241,MILTON BORGES YPIRANGA,145018,"JURACI SEVERIANO DA SILVA, SN - VILA ZILDA - 11436080"
